user_name,id,reple_score
mom0****,213746,10
bak0****,213746,10
you(youn****),213746,10
mama****,213746,10
redb****,171539,10
매직아워(eilo****),171539,10
코주부육포(ffsa****),171539,10
hsgg****,171539,10
ANNE(bfw1****),171539,10
에프(pale****),171539,9
하늘땅평화(ifor****),171539,10
dyna****,171539,8
dari****,171539,10
천산흑협(alst****),171539,10
가보트(elxm****),171539,9
낭만오크(fish****),171539,10
와따시(read****),171539,10
아무끼나(luv1****),171539,10
땅꼬마(jedi****),171539,9
성 게(chlw****),171539,10
ryu7****,171539,9
blue(nymp****),174830,10
wodu****,174830,10
dm(dmfj****),174830,10
yonccu(zzyo****),174830,10
STRFKR(nesp****),174830,9
포스트신하균(haes****),174830,10
부엉이(ooko****),174830,9
jjol****,174830,8
Joondel(joon****),174830,10
보리차(krs4****),174830,7
soap****,174830,10
바람여행(whdd****),174830,10
곰탱이(dotn****),174830,10
안지현(pree****),174830,10
dyna****,174830,8
베레타38(wand****),186114,6
bigg****,186114,10
amaz****,186114,10
mets****,186114,10
slee****,186114,10
ilik****,186114,10
audi****,186114,10
이관희(ohga****),186114,10
히히(aqua****),186114,10
than****,186114,10
코주부육포(ffsa****),192613,10
김태림(taer****),192613,10
dhwo****,192613,10
jsw9****,192613,10
wlwl****,192613,10
스마일조커(ehfn****),192613,10
가넷(csy_****),144906,10
박도근(pdg6****),144906,8
대통령(gisu****),144906,10
09yo****,144906,10
clau****,144906,10
매떡스(rose****),144906,10
zami****,144906,10
Ssiniiiii(kimy****),144906,10
euni****,144906,10
gyhdegvj(whib****),144906,10
Rachel(bsb1****),151196,10
fina****,151196,10
Rir(hsmi****),151196,10
달(migo****),151196,8
jass****,151196,8
소보로(long****),151196,10
aazz****,151196,9
bb66****,151196,10
썸데이(hjch****),151196,10
동동이(ehdg****),151196,8
namy****,151196,9
Joon(nice****),151196,9
iamk****,151196,10
빵꾸똥꾸(amy5****),151196,10
doto****,151196,10
gunw****,169240,10
9999(sbtm****),169240,10
없음(jyk9****),169240,10
gemi****,169240,9
bubi****,169240,10
kids****,169240,10
curi****,169240,10
팬더달인(shan****),169240,10
황금(hosu****),169240,10
zerg****,196843,10
안나(anna****),196843,10
Dayflower(hkh9****),196843,8
셰인(mari****),196843,10
skdm****,196843,10
tjdv****,196843,10
bu98****,196843,10
사이후이(la14****),175092,10
먹군(123q****),175092,9
dnle****,175092,10
용용(cywo****),175092,8
luvs****,175092,9
무쵸맨(neo2****),175092,10
딜튼(jake****),175092,10
patd(kime****),175092,10
chad(reat****),175092,6
qkrr****,175092,10
par(park****),175092,10
송영상(dudt****),157243,10
이원진(com_****),157243,10
suyeoni(sy87****),157243,10
nanj****,157243,9
skba****,157243,10
나바(whit****),157243,10
김동진(kdon****),157243,10
애디(edju****),181710,9
juni****,181710,10
aran****,181710,10
huyu****,181710,10
카스테라무스(winn****),181710,10
enjo****,181710,9
차니(chan****),181710,10
nyy(nyy3****),181710,10
flat****,181710,10
dd97****,181710,10
눈누난나(sdwt****),181710,10
에불데이쉐킷(happ****),181710,10
kdhg****,181710,10
스폰지밥(kuf4****),181710,10
U 현(rhdb****),181710,9
케이스(my53****),181710,9
rook****,181710,10
찬스틴(chan****),181710,10
조피볼락(bagu****),181710,10
곰탱이(dotn****),181710,10
가츠(hjkw****),181710,9
minz(alsw****),181710,10
BOWMON(mn06****),181710,10
북극곰(yk_j****),181710,10
포커페이스(namz****),181710,10
thef****,196828,10
chol****,196828,10
land****,196828,10
mela****,196828,10
you(youn****),196828,10
mimi****,196828,10
dlqh****,196828,10
samm****,196828,10
maze****,179518,10
psh76(pyos****),179518,9
dhtj****,179518,10
푸에코(chan****),179518,8
조 프레이저(sun2****),179518,10
googie(leee****),179518,10
클래식(proi****),179518,9
JEE(supr****),179518,10
해리키웰(leve****),179518,9
nature(cine****),179518,10
mck2****,179518,10
jsy1****,179518,9
피오나프린세스(jks0****),179518,8
blos****,17421,10
미추(rmfl****),17421,10
bs79****,17421,10
Ugly(cute****),17421,10
유환(yesy****),17421,10
열망(expl****),17421,10
옐조(hone****),17421,10
미니핑(open****),17421,10
capa****,17421,10
dain****,17421,10
브라이언(jjan****),17421,10
푸욜(whee****),17421,10
sec5****,17421,10
임현배(drag****),17421,10
free(depp****),17421,10
최대섭(newf****),17421,10
gaia****,17421,10
수시아(suci****),17421,10
히바리(qort****),10200,10
GO(yes4****),10200,10
해브(zeti****),10200,10
뻐끔(kids****),10200,10
로니(pcpa****),10200,10
고이즈미(tbxl****),10200,10
vood****,10200,10
namo****,10200,10
DCDC(bian****),10200,10
스파이더(qaws****),10200,10
dope****,10200,10
레인(iopj****),10200,10
roks****,10200,10
총이(kec7****),10200,10
공집합(gbh1****),10200,10
iceg****,10200,10
topo****,154667,10
봄날(qowo****),154667,10
dm(iam_****),154667,10
롤로(roll****),154667,10
find****,154667,10
ggon****,154667,10
duda****,154667,10
dndn****,154667,10
uri9****,154667,10
그로(rlfl****),10016,10
akst****,10016,10
어려운 게임 1(rldn****),10016,10
hadu****,10016,10
dhdl****,10016,10
dlsx****,10016,10
미스터(tlsq****),10016,10
그림쟁이(rhkd****),10016,10
나e쁜놈(jino****),10016,10
kunh****,10016,10
sungWook(chlg****),10016,10
tupa****,10016,10
브루스장(inow****),10016,10
dpfl****,10016,10
isun(yuei****),10016,10
jspa****,10016,10
1997****,10016,9
가을느낌(jiyu****),10016,8
독수리천재(fcte****),10016,10
럽송(song****),10016,10
