Id,actor
213746,
171539,"비고 모텐슨(토니 발레롱가), 마허샬라 알리(돈 셜리 박사)"
174830,"자인 알 라피아(자인), 요르다노스 시프로우(라힐)"
186114,임지호(본인)
192613,"하나에 나츠키(야가미 타이치), 호소야 요시마사(이시다 야마토), 사카모토 치카(아구몬)"
144906,"조시 게드(베일리/ 엘리/ 티노/ 버디 목소리), 데니스 퀘이드(이든), K.J. 아파(십대 이든)"
151196,"제이콥 트렘블레이(어기 풀먼), 줄리아 로버츠(이자벨 풀먼), 오웬 윌슨(네이트 풀먼)"
169240,"김설(아일라), 이스마일 하지오글루(슐레이만)"
196843,"이시카와 유이(바이올렛 에버가든 목소리), 나미카와 다이스케(길베르트 부겐빌리아 목소리)"
175092,"정백연, 주동우, 톈좡좡"
157243,"아미르 칸(마하비르 싱 포갓), 파티마 사나 셰이크(기타), 산야 말호트라(바비타)"
181710,"맷 데이먼(캐롤 셸비), 크리스찬 베일(켄 마일스)"
196828,김호중
179518,
17421,"팀 로빈스(앤디 듀프레인), 모건 프리먼(엘리스 보이드 레드 레딩)"
10200,아놀드 슈왈제네거(터미네이터)
154667,"이순재(덕구할배), 정지훈(덕구)"
10016,"맥컬리 컬킨(케빈 맥콜리스터), 조 페시(좀도둑 해리 림), 다니엘 스턴(좀도둑 마브 머챈츠)"
187320,"매튜 맥커너히(버스터 문 목소리), 리즈 위더스푼(로지타 목소리), 스칼릿 조핸슨(애쉬 목소리)"
35939,"손예진(지혜/주희), 조승우(준하), 조인성(상민)"
18988,"톰 행크스(존 밀러 대위), 에드워드 번즈(Pvt. 리처드 레이번), 톰 시즈모어(Sgt. 마이클 호바스)"
69105,"벤 버트(월-E / M-O 목소리), 엘리사 나이트(이브 목소리), 제프 갈린(선장 목소리)"
156464,"라미 말렉(프레디 머큐리), 루시 보인턴(메리 오스틴), 귈림 리(브라이언 메이)"
10002,"마이클 J. 폭스(마티 맥플라이), 크리스토퍼 로이드(에메트 브라운 박사), 리 톰슨(로레인 베인스 맥플라이)"
10102,"줄리 앤드류스(마리아), 크리스토퍼 플러머(캡틴 조지 본 트랩), 엘레노 파커(남작 부인)"
17159,톰 행크스(포레스트 검프)
106360,"휴 잭맨(P.T. 바넘), 잭 에프론(필립 칼라일), 미셸 윌리엄스(채러티 바넘)"
29217,"러셀 크로우(막시무스), 호아킨 피닉스(코모두스), 코니 닐슨(루실라)"
18847,"레오나르도 디카프리오(잭 도슨), 케이트 윈슬렛(로즈 드윗 부카더)"
22126,"로베르토 베니니(귀도), 니콜레타 브라스키(도라)"
82432,"엠마 스톤(유지니아 '스키터' 펠런), 비올라 데이비스(에이블린 클락), 옥타비아 스펜서(미니 잭슨)"
197647,"션 알다란, 잭 힙스, 젬마 리주토"
35901,"송강호(박두만), 김상경(서태윤)"
24452,"키아누 리브스(네오), 로렌스 피시번(모피어스)"
32686,"히이라기 루미(치히로/센 목소리), 이리노 미유(하쿠 목소리)"
66463,"톰 행크스(우디 목소리), 팀 알렌(버즈 라이트이어 목소리), 조앤 쿠삭(제시 목소리)"
31162,"톰 행크스(척 놀랜드), 헬렌 헌트(켈리 프리어스)"
203288,"벤 애플렉(배트맨, 브루스 웨인 ), 헨리 카빌(수퍼맨, 클라크 켄트), 갤 가돗(원더 우먼, 다이애나 프린스)"
34324,"김을분(할머니), 유승호(상우)"
11678,"이연걸(장삼풍 / 장군보), 전소호(동천보), 원결영(불소루 주인 소동과)"
147092,"타라지 P. 헨슨(캐서린 존슨), 옥타비아 스펜서(도로시 본), 자넬 모네(메리 잭슨)"
31796,"일라이저 우드(프로도), 숀 애스틴(샘), 앤디 서키스(골룸/스미골)"
92125,"제라드 버틀러(캡틴 조 글래스), 게리 올드만(찰스 도네건)"
181700,"조시 게드(베일리 목소리), 데니스 퀘이드(이든), 캐서린 프레스콧(씨제이)"
10048,로빈 윌리엄스(존 키팅)
14450,리암 니슨(오스카 쉰들러)
136900,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)"
17170,"장 르노(레옹), 나탈리 포트만(마틸다)"
163788,"메나 마수드(알라딘), 윌 스미스(지니), 나오미 스콧(자스민)"
37886,"이동준(김승현), 김혜리(임민서), 스티븐 시걸(잭 밀러)"
161850,"나문희(나옥분), 이제훈(박민재)"
134899,"강하늘(윤동주), 박정민(송몽규), 김인우(고등형사)"
142632,제시카 차스테인(엘리자베스 슬로운)
12482,알 파치노(프랭크 슬레이드)
18543,"주성치, 주인"
30688,"다니엘 래드클리프(해리 포터), 루퍼트 그린트(론 위즐리), 엠마 왓슨(헤르미온느)"
19079,맷 데이먼(윌 헌팅)
130850,"지니퍼 굿윈(주디 홉스 목소리), 제이슨 베이트먼(닉 와일드 목소리), 샤키라(가젤 목소리)"
17541,"조셉 마젤로(덱스터), 브래드 렌프로(에릭), 다이아나 스카위드(게일)"
154573,"파드마 앙뚜(본인), 우르갼 릭젠(본인)"
19099,짐 캐리(트루먼 버뱅크)
31795,"일라이저 우드(프로도), 이안 맥켈런(간달프), 비고 모텐슨(아라곤)"
189027,
51172,"다쉴 사페리(이샨 아와스티), 아미르 칸(램 니쿰브)"
73372,"아미르 칸(란초), 마드하반(파르한), 셔먼 조쉬(라주)"
19303,"마츠다 요지(아시타카), 미와 아키히로(모로), 이시다 유리코(산)"
17441,"박영남(둘리 목소리), 이인성(고길동 목소리)"
39636,"다케우치 유코(아이오 미오), 나카무라 시도(아이오 타쿠미), 다케이 아카시(아이오 유우지)"
17135,"숀 코네리(존 패트릭 메이슨), 니콜라스 케이지(닥터 스탠리 굿스피드), 에드 해리스(프란시스 X. 험멜 장군)"
12270,"맥컬리 컬킨(케빈 맥콜리스터), 조 페시(해리 림), 다니엘 스턴(마브 머챈츠)"
10038,"시고니 위버(엘렌 리플리), 마이클 빈(Cpl. 드웨인 힉스), 폴 레이저(카터 버크)"
16210,"로빈 윌리엄스(다니엘/미세스 다웃파이어), 샐리 필드(미란다)"
76667,"이금희(나레이션), 이태석(본인)"
62586,"크리스찬 베일(브루스 웨인/배트맨), 히스 레저(조커), 아론 에크하트(하비 덴트/투 페이스)"
182348,"이순재(조남봉), 정영숙(이매자), 조한철(조진수)"
10114,"톰 헐스(볼프강 아마데우스 모짜르트), F. 머레이 아브라함(안토니오 살리에리), 엘리자베스 베리지(콘스탄츠 모짜르트)"
189075,"설경구(정약전), 변요한(창대)"
13008,"스콧 와인거(알라딘/알리바브와 왕자 목소리), 로빈 윌리엄스(램프의 요정 지니 목소리), 린다 라킨(쟈스민 공주 목소리)"
31013,"제이미 벨(빌리 엘리어트), 줄리 월터스(윌킨슨 부인), 게리 루이스(아버지 재키 엘리어트)"
87566,"프랑수아 클루제(필립), 오마 사이(드리스)"
73476,"이순재(김만석), 윤소정(송이뿐), 송재호(장군봉)"
34227,"숀 펜(샘 도슨), 미셸 파이퍼(리타 해리슨)"
144318,"디오(뭉치 목소리), 박소담(밤이 목소리), 박철민(짱아 목소리)"
35187,"애드리언 브로디(블라디슬로프 스필만), 토마스 크레취만(빌름 호젠펠트)"
25915,"제니퍼 애니스톤(애니 휴즈 목소리), 빈 디젤(아이언 자이언트 목소리), 엘리 마리엔탈(호가드 휴즈 목소리)"
189111,"안소니 홉킨스(교황 베네딕토 16세), 조나단 프라이스(교황 프란치스코)"
16466,"케이코(윌리), 제이슨 제임스 리처(제시), 로리 페티(래 린들리)"
18782,"타나카 마유미(파즈 목소리), 요코자와 케이코(쉬타 목소리), 하츠이 코토에(돌라 목소리)"
75470,"맨디 무어(라푼젤 목소리), 제커리 레비(플린 라이더 목소리)"
34181,"김서영(길손이 목소리), 박선영(감이 목소리)"
52120,"에드워드 애스너(칼 프레드릭슨), 조던 나가이(러셀 목소리), 크리스토퍼 플러머(찰스 먼츠 목소리)"
152655,"앤드류 가필드(로빈), 클레어 포이(다이애나)"
103535,"설경구(동훈), 엄지원(미희), 이레(소원)"
10001,"마르코 레오나르디(청년 살바토레), 필립 느와레(알프레도), 자끄 페렝(중년 살바토레)"
70457,"제이 바루첼(히컵 목소리), 제라드 버틀러(스토이크 목소리), 아메리카 페레라(아스트리드 목소리)"
47528,"다니엘 래드클리프(해리 포터), 엠마 왓슨(헤르미온느), 루퍼트 그린트(론 위즐리)"
29657,"데니스 퀘이드(프랭크 설리반), 제임스 카비젤(존 설리반)"
195975,"RM(본인), 진(본인), 슈가(본인)"
17153,"톰 행크스(우디 목소리), 팀 알렌(버즈 라이트이어 목소리)"
71081,산드라 블록(리 앤 투오이)
180220,
151728,"안소니 곤잘레스 (미구엘 목소리), 가엘 가르시아 베르날(헥터 목소리), 벤자민 브랫(에르네스토 델라 크루즈 목소리)"
10249,"찰리 채플린(공장 노동자), 파울레트 고다드(집 없는 아이)"
87307,"존 C. 라일리(랄프 목소리), 사라 실버맨(바넬로피 목소리), 잭 맥브레이어(펠릭스 목소리)"
12297,"홍경인(엄석대), 고정일(어린 한병태), 최민식(김 선생)"
169561,"박효신, 정재일"
11608,"줄리 앤드류스, 딕 반 다이크, 데이비드 톰린슨"
13500,"샘 닐(알란 그랜트 박사), 로라 던(엘리 새틀러 박사), 제프 골드브럼(이안 말콤 박사)"
39584,"제라르 쥐노(클레몽 마티유), 프랑수와 벨레앙(라신), 장 밥티스트 모니에(어린 모항주)"
31268,"할리 조엘 오스먼트(데이빗), 주드 로(지골로 조), 프란시스 오코너(모니카 스윈튼)"
14448,"장국영(두지), 공리(주샨), 장풍의(시투)"
10746,성룡(진가구)
10244,"케빈 코스트너(존 던바 중위, 늑대와 춤을)"
176354,"RM(본인), 진(본인), 슈가(본인)"
184517,"제이미 폭스(조 가드너 목소리), 티나 페이(22 목소리), 다비드 딕스(파울 목소리)"
178434,"이송(본인), 추상미(본인)"
10012,브루스 윌리스(존 맥클레인)
65021,"패튼 오스왈트(레미), 루 로마노(링귀니)"
31726,"전지현(그녀), 차태현(견우)"
28788,로빈 윌리엄스(앤드류 마틴)
18052,"시마모토 스미(나우시카 목소리), 츠지무라 마히토(질 목소리), 쿄다 히사코(오바바 목소리)"
31794,"일라이저 우드(프로도), 이안 맥켈런(간달프), 리브 타일러(아르웬)"
18817,"한석규(정원), 심은하(다림)"
183132,"이관희(본인), 오은주(본인), 이소연(본인)"
89752,"시에라 보게스(크리스틴), 라민 카림루(팬텀), 하들리 프레이저(라울)"
32112,"존 굿맨(설리 목소리), 빌리 크리스탈(마이크 목소리), 메리 깁스(부/매리 목소리)"
25266,"토니 골드윈(타잔 목소리), 미니 드라이버(제인 포터 목소리)"
167787,"김희애(문정숙 사장), 김해숙(배정길 할머니)"
16521,"조나단 테일러 토마스(어린 심바 목소리), 매튜 브로데릭(어른 심바 목소리), 제임스 얼 존스(왕 무파사 목소리)"
150376,"데이브 존스(다니엘), 헤일리 스콰이어(케이티)"
17869,"크리스찬 슬레이터(제임스 스탬필), 케빈 베이컨(헨리 영), 게리 올드만(밀튼 글렌)"
182525,"애슐리 브래처(애비 존슨), 브룩스 라이언(더그 존슨), 로비아 스캇(셰릴)"
70651,"샤룩 칸(리즈완 칸), 까졸(만디라 칸)"
10670,"장국영(영채신), 왕조현(섭소천)"
17111,"이연걸(보디가드, 허정양), 종려시(여교사, 양청아)"
11104,"이연걸(영호충), 임청하(동방불패)"
76309,"매들린 캐롤(줄리 베이커), 캘런 맥오리피(브라이스 로스키)"
51708,"김보성(장현우), 표도르 예멜리야넨코(표도르)"
30306,"이정재(성현), 전지현(은주)"
10021,실베스터 스탤론(록키 발보아)
16531,"공리(부귀의 아내), 갈우(부귀)"
183136,"이선(뽀로로 목소리), 이미자(크롱 목소리), 김현지(에디 목소리)"
146534,"최승호(본인), 김기춘(본인), 원세훈(본인)"
146504,"최수인(선), 설혜인(지아), 이서연(보라)"
16216,성룡(황비홍)
54900,"존 디콘(본인), 브라이언 메이(본인), 프레디 머큐리(본인)"
29571,"레자 나지(알리 부), 아미르 파로크 하스미얀(알리), 바하레 세디키(자흐라)"
15899,"이영애(소피 E 장 소령), 이병헌(이수혁 병장), 송강호(오경필 중사)"
192066,"주동우(첸니엔), 이양천새(샤오 베이)"
38613,"타카야마 미나미(에도가와 코난 목소리), 야마자키 와카나(모리 란 목소리)"
144100,"로랜드 몰러(칼 라스무센), 미켈 폴스라르(에베 옌슨), 루이스 호프만(세바스티안 슈만)"
125724,"엘리엇 한나(빌리 엘리어트), 루시에 헨쉘(Mrs. 윌킨슨), 데카 웜슬리(재키 엘리어트)"
196051,"하나에 나츠키(카마도 탄지로 목소리), 키토 아카리(카마도 네즈코 목소리)"
53951,"조 치숌, 맨디-래 크루이크생크"
79762,"배종옥(김인희), 김갑수(정철), 김지영(할머니)"
51083,"박희순(김원광), 고창석(박인기)"
68555,"주걸륜(상륜), 계륜미(샤오위), 황추생(샹륜 아버지)"
70251,마이클 잭슨(본인)
70773,정우(짱구)
58323,폴 워커(게리 셰퍼드)
19074,"에단 호크(빈센트 프리맨), 우마 서먼(아이린 카시니)"
17162,"멜 깁슨(윌리암 월레스), 소피 마르소(이사벨라 공주), 패트릭 맥구한(롱생크, 에드워드 1세)"
75413,"공유(강인호), 정유미(서유진)"
18781,"히다카 노리코(사츠키 목소리), 사카모토 치카(메이 목소리), 타카기 히토시(토토로 목소리)"
13967,클린트 이스트우드(The Good - 블론디)
10101,"그레고리 펙(조 브래들리), 오드리 헵번(앤 공주)"
194334,"권오중(본인), 이성혜(본인), 이용규(본인)"
109193,"제이 바루첼(히컵 목소리), 아메리카 페레라(아스트리드 목소리), 케이트 블란쳇(발카 목소리)"
31159,"니콜라스 케이지(잭 캠벨), 티아 레오니(케이트 레이놀즈)"
10028,"아놀드 슈왈제네거(터미네이터), 마이클 빈(카일 리즈), 린다 해밀턴(사라 코너)"
59075,"맷 데이먼(제이슨 본), 줄리아 스타일스(닉키 파슨스), 데이빗 스트라탄(노아 보슨)"
199860,"박정민(준경), 이성민(태윤), 윤아(라희)"
151752,"조슈 브롤린(에릭 마쉬), 마일즈 텔러(브렌든 맥도너), 제프 브리지스(두에인 스타인브링크)"
100654,"박철민(상구), 윤유선(정임), 김규리(난주)"
187051,"RM(본인), 진(본인), 슈가(본인)"
148338,"노지마 켄지(사죠 리히토), 카미야 히로시(쿠사카베 히카루), 이시카와 히데오(하라 마나부)"
10217,"피터 웰러(알렉스 J. 머피/로보캅), 낸시 알렌(앤 루이스), 댄 오헐리히(노인)"
10936,"조니 뎁(에드워드 시저핸즈), 위노나 라이더(킴), 다이앤 위스트(펙)"
41375,"러셀 크로우(짐 브래독), 르네 젤위거(매 브래독)"
27578,"톰 행크스(우디 보안관 목소리), 팀 알렌(버즈 라이트이어 목소리), 조안 쿠삭(제시 목소리)"
45774,"잭 에프론(트로이 볼튼), 바네사 허진스(가브리엘라 몬테즈), 애슐리 티스데일(샤페이 에반스)"
29059,"팀 로스(대니 부드만 T.D. 레몬 나인틴 헌드러드 1900), 프루이트 테일러 빈스(맥스 투니)"
185275,"크리스 히친(리키 터너), 데비 허니우드(애비 터너)"
36718,류 페이치
44529,"김래원(오태식), 김해숙(양덕자), 허이재(최희주)"
12393,우피 골드버그(들로리스)
83893,"이병헌(광해 / 하선), 류승룡(허균), 한효주(중전)"
172980,"토마스 갈라스타드(얀 볼스루드), 조나단 리스 마이어스(커트 스테이지)"
71509,"원빈(차태식), 김새론(소미)"
10105,"진 켈리(돈 락우드), 도널드 오코너(코스모 브라운), 데비 레이놀즈(케이시 셀든)"
167107,"이규호(본인), 김현빈(본인), 박혜영(본인)"
51462,"클린트 이스트우드(월트 코왈스키), 크리스토퍼 칼리(자노비치 신부), 비 방(타오 방 로어)"
34010,"러셀 크로우(존 내쉬), 에드 해리스(파처), 제니퍼 코넬리(알리시아 내쉬)"
71932,"김해숙(엄마), 박진희(지숙)"
13172,"페이지 오하라(벨 목소리), 로비 벤슨(야수 목소리)"
16218,"리온(데리스 배녹), 더그 E. 더그(상카 코피), 롤 D. 루이스(주니어 비빌)"
36798,"크레이그 T. 넬슨(밥 파 / Mr. 인크레더블 목소리), 홀리 헌터(헬렌 파 / 엘라스티 걸 목소리)"
84148,박나림(나레이션 목소리)
31788,톰 크루즈(프리크라임 팀장 존 앤더튼)
29953,"장쯔이(쟈오 디), 순홍레이(루오 유셍), 이빈(할머니)"
10020,"클라크 게이블(렛 버틀러), 비비안 리(스칼렛 오하라), 레슬리 하워드(애슐리 윌키스)"
30897,덴젤 워싱톤(허만 분 코치)
31170,"이베스 바사크, Francois Voisin"
12993,"장국영(탁일항), 임청하(마녀 연예상)"
130013,"조병만, 강계열"
52515,"레오나르도 디카프리오(코브), 와타나베 켄(사이토), 조셉 고든 레빗(아서)"
35100,"맷 데이먼, 제임스 크롬웰, 다니엘 스터디"
17903,"제프 다니엘스(토마스 톰 앨든), 안나 파킨(에이미 앨든)"
175727,"이지현(차탄 목소리), 김용준(아빠 / 스톰 목소리), 양정화(장군 / 엄마 / M라인 목소리)"
63403,"울리히 뮤흐(비즐러), 마르티나 게덱(크리스타), 세바스티안 코치(드라이만)"
39436,"조승우(윤초원), 김미숙(초원 엄마, 경숙)"
50672,"이범수(올림픽 동메달리스트 출신 역도 코치 이지봉, 일명 킹콩), 조안(박영자)"
205968,"박영남(짱구 목소리), 김환진(짱구 아빠 목소리), 강희선(짱구 엄마 목소리)"
164907,"클로이 모레츠(스노우 화이트 목소리), 샘 클라플린(멀린 목소리), 지나 거손(레지나 목소리)"
31148,"로버트 드 니로(레슬리 W. 빌리 선데이), 쿠바 구딩 쥬니어(칼 브레이셔), 샤를리즈 테론(그웬 선데이)"
24542,"브렌든 프레이저(리차드 릭 오코넬), 레이첼 와이즈(에블린 캐나헌 오코넬/네퍼티리 공주), 존 한나(조나단 캐나헌)"
79435,"니콜라스 케이지(그루그 목소리), 라이언 레이놀즈(가이 목소리), 엠마 스톤(이프 목소리)"
48602,"견자단(영춘권 고수, 엽문), 임달화(주청천), 슝다이린(엽문의 아내, 장영성)"
68502,"김연우(쿠 한국어 목소리), 전진아(코이치 한국어 목소리), 사문영(히토미/키쿠치 한국어 목소리)"
158191,"김윤석(박처장), 하정우(공안부장), 유해진(한병용)"
134841,"써니 파와르(어린 사루), 데브 파텔(사루), 니콜 키드먼(수)"
201073,"에밀리아 존스(루비 로시), 퍼디아 월시-필로(마일스), 트로이 코처(프랭크 로시)"
10185,"레너드 위팅(로미오), 올리비아 핫세(줄리엣), 존 맥에너리"
79749,"야마구치 캇페이(하트 목소리), 카토 세이시로(맛나 목소리)"
142305,"앤드류 가필드(데스몬드 T.도스), 샘 워싱턴(캡틴 글로버), 휴고 위빙(톰 도스)"
10314,"존 론(푸이), 조안 첸(완정), 피터 오툴(레지날드 존스톤)"
17486,"덴젤 워싱턴(Lt. Commander 론 헌터), 진 핵크만(Capt. 프랭크 램지)"
136990,"크레이그 T. 넬슨(밥 파 / Mr. 인크레더블 목소리), 사무엘 L. 잭슨(루이스 베스트 / 프로존 목소리), 홀리 헌터(헬렌 파 / 일라스티걸  목소리)"
10058,"찰톤 헤스톤(유다 벤허), 잭 호킨스(퀸투스 아리우스), 하야 하라릿(에스더)"
75216,"타카야마 미나미(에도가와 코난 목소리), 야마자키 와카나(모리 란 목소리), 야마구치 캇페이(쿠도 신이치 / 괴도 키드 목소리)"
68031,"양익준(용역 깡패, 상훈), 김꽃비(여고생, 연희), 이환(연희의 남동생, 영재)"
190395,"양정화(눈의 여왕 한국어 목소리), 박지윤(겔다 한국어 목소리), 임채헌(헤럴드 한국어 목소리)"
10173,"패트릭 스웨이지(샘 휘트), 데미 무어(몰리 젠슨)"
195687,"스기야마 노리아키(에미야 시로 목소리), 시타야 노리코(마토 사쿠라 목소리)"
10341,"찰리 채플린(독재자 힌켈/유태인 이발사 1인 2역), 파울레트 고다드(한나)"
144379,"더글러스 부스(아르망 룰랭), 시얼샤 로넌(마르그리트 가셰), 제롬 플린(닥터 가셰)"
18552,"존 트라볼타(숀 아처/캐스터 트로이), 니콜라스 케이지(캐스터 트로이/숀 아처)"
115298,"이호재, 이현학, 하승엽"
10003,"마이클 J. 폭스(마티 맥플라이/마티 맥플라이 주니어/마린느 맥플라이), 크리스토퍼 로이드(에메트 브라운 박사)"
11295,"스티븐 도프(P.K. 18세), 가이 위처(P.K. 7세), 시몬 펜톤(P.K. 12세)"
181286,
18610,"조디 포스터(엘리 애로웨이), 매튜 맥커너히(팔머 조스)"
32116,"앨버트 브룩스(말린 목소리), 엘런 드제너러스(도리 목소리), 알렉산더 굴드(니모 목소리)"
11003,"유덕화(아화), 오천련(죠죠)"
10046,"스티브 맥퀸(바삐용), 더스틴 호프만(드가)"
142304,"이윤혁(본인), 이장훈(본인), 윤학병(본인)"
172780,"윌 스미스(랜스 목소리), 톰 홀랜드(월터 목소리)"
34522,"레오나르도 디카프리오(프랭크), 톰 행크스(칼)"
10018,"헨리 토마스(엘리어트), 디 월리스(매리), 피터 코요테(케이스)"
17440,"로빈 윌리엄스(앨런 패리시), 커스틴 던스트(주디 셔퍼드), 데이빗 알란 그리어(칼 벤틀리)"
28677,"톰 행크스(폴), 데이빗 모스(브루터스 브루탈 하우웰), 보니 헌트(잔)"
10600,톰 행크스(조쉬)
16217,"알 파치노(칼리토), 숀 펜(부패 변호사 데이브), 페네로프 앤 밀러(게일)"
190244,"프랑수아 시빌(라파엘), 조세핀 자피(올리비아)"
151106,"노엘 갤러거(본인), 리암 갤러거(본인)"
36666,"장동건(이진태), 원빈(이진석), 이은주(영신)"
38091,"애쉬튼 커쳐(에반), 에이미 스마트(케일 밀러), 에릭 스톨츠(케일의 아버지)"
139613,"롤프 라스가드(오베), 바하르 파르스(파르바네), 필립 버그(젊은 오베)"
47152,"리암 니슨(브라이언 밀스), 매기 그레이스(킴)"
140711,"산페이 유코(우즈마키 보루토 목소리), 키쿠치 코코로(우치하 사라다 목소리), 타케우치 준코(우즈마키 나루토 목소리)"
154379,루크 트레더웨이(제임스 보웬)
10072,"알 파치노(돈 마이클 코르레오네), 로버트 듀발(톰 하겐), 다이안 키튼(케이 코르레오네)"
10061,아놀드 슈왈제네거(Major 앨런 더치 쉐퍼)
38227,"아담 샌들러(헨리 로스), 드류 베리모어(루시 윗모어)"
10647,"주겐 프로크노(U-96 함장), 클라우스 웨네먼(U-96 기관장), 허버트 그로네메이어(베르너 중위, 종군기자)"
10047,"폴 뉴먼(헨리 곤도프, 일명 쇼), 로버트 레드포드(자니 후커, 일명 켈리), 로버트 쇼(도일 론겐)"
171725,"샤메익 무어(마일스 모랄레스/스파이더맨 목소리), 헤일리 스테인펠드(스파이더 그웬 목소리), 니콜라스 케이지(스파이더맨 누아르 목소리)"
18542,"주성치(지존보), 오맹달(이당가)"
187322,엠마 스톤(크루엘라)
154437,"샐리 호킨스(모드 루이스), 에단 호크(에버렛 루이스)"
37486,잭 블랙(듀이 핀)
58088,"박중훈(88년 가수왕, 최곤), 안성기(최곤의 매니저, 박민수)"
172174,"릴리 프랭키(오사무 시바타), 안도 사쿠라(노부요 시바타), 마츠오카 마유(아키 시바타)"
57723,"조승우(고니), 김혜수(정 마담), 백윤식(평경장)"
143469,"크리스 에반스(프랭크), 맥케나 그레이스(메리), 린제이 던칸(에블린)"
51143,"차태현(남현수), 박보영(황정남 / 황제인), 왕석현(황기동)"
63513,"나카 리이사(코노 마코토 목소리), 이시다 타쿠야(마미야 치아키 목소리)"
10561,"알 파치노(돈 마이클 코르레오네), 다이안 키튼(케이 아담스 미첼슨), 탈리아 샤이어(코니 코르레오네-리지)"
19335,"장국영(보영), 양조위(아휘), 장첸(장)"
11002,"찰톤 헤스톤(조지 테일러), 로디 맥도웰(코넬리우스 박사), 킴 헌터(지라)"
134772,"김영옥(종분), 김향기(소녀 종분), 김새론(영애)"
22082,
32610,"설경구(강철중), 이성재(조규환)"
168050,"브래들리 쿠퍼(잭슨), 레이디 가가(앨리)"
19469,"사무엘 L. 잭슨(데니 로맨), 케빈 스페이시(크리스 사비언)"
152160,"카키하라 테츠야(미하마 코우지 목소리), 마에노 토모아키(하야미 히로 목소리), 마스다 토시키(니시다 카즈키 목소리)"
160135,"하정우(내레이션), 윤안나(서서평 선교사), 안은새"
138877,아리무라 카스미(쿠도 사야카)
75378,"이제훈(기태), 서준영(동윤), 박정민(희준)"
10110,"적룡(송자호), 주윤발(소마/마크), 장국영(송아걸)"
10688,잭 니콜슨(랜들 패트릭 맥머피)
10669,"린 어벌조노이스(루이스 목소리), 버디 해킷(스커틀 목소리), 크리스토퍼 다니엘 반즈(에릭 왕자 목소리)"
92075,"도널 글리슨(팀), 레이첼 맥아담스(메리)"
24194,
31827,존 카메론 미첼(헤드윅 로빈슨/한셀)
169349,"이선(뽀로로 목소리), 이미자(크롱 목소리), 함수정(에디 목소리)"
130849,"아우이 크라발호(모아나 목소리), 드웨인 존슨(마우이 목소리), 레이첼 하우스(탈라 할머니 목소리)"
180361,
10039,"찰리 쉰(Pvt. 크리스 테일러), 톰 베린저(SSgt. 밥 반스), 윌렘 대포(Sgt. 일라이어스 그로딘)"
63156,"안젤리나 졸리(크리스틴 콜린스), 존 말코비치(구스타브 브리그랩)"
18934,"마라 윌슨(마틸다 웜우드), 대니 드비토(해리 웜우드/나레이터), 레아 펄만(지니아 웜우드)"
34093,"설경구(홍종두), 문소리(한공주)"
39857,사무엘 L. 잭슨(코치 켄 카터)
12324,"톰 크루즈(다니엘 캐피 중위), 잭 니콜슨(나단 R. 제섭 대령), 데미 무어(조안느 겔로웨이 소령)"
13957,"빌 머레이(필 코너), 앤디 맥도웰(리타)"
17942,톰 크루즈(제리 맥과이어)
158578,"오노 다이스케(세바스찬 미카엘리스 목소리), 사카모토 마아야(시엘 팬텀하이브 목소리)"
201898,"진구(재식), 정서연(은혜)"
62329,"카세 료(카네코 텟페이), 세토 아사카(스도 리코), 야마모토 코지(사이토 타츠오)"
145736,"시마자키 노부나가(나나세 하루카 목소리), 스즈키 타츠히사(타치바나 마코토 목소리), 토요나가 토시유키(시이나 아사히 목소리)"
173692,"제임스 폴크너(바울), 제임스 카비젤(누가)"
85825,"조 허란(로레 / 미카엘), 말론 레바나(잔)"
10740,케빈 코스트너(짐 게리슨)
17796,"필립 느와레(네루다), 마시모 트로이시(마리오)"
66801,마이클 무어(본인 / 진행자)
19527,"산드라 블록, 레이프 파인즈, 대니 글로버"
