id,age,percent
213746,10,0
213746,20,0
213746,30,11
213746,40,44
213746,50,44
171539,10,0
171539,20,30
171539,30,29
171539,40,17
171539,50,23
174830,10,2
174830,20,37
174830,30,29
174830,40,15
174830,50,17
186114,10,5
186114,20,35
186114,30,25
186114,40,15
186114,50,20
192613,10,
192613,20,
192613,30,
192613,40,
192613,50,
144906,10,3
144906,20,48
144906,30,23
144906,40,19
144906,50,7
151196,10,2
151196,20,34
151196,30,27
151196,40,29
151196,50,8
169240,10,0
169240,20,47
169240,30,27
169240,40,17
169240,50,9
196843,10,17
196843,20,56
196843,30,17
196843,40,8
196843,50,2
175092,10,
175092,20,
175092,30,
175092,40,
175092,50,
157243,10,6
157243,20,61
157243,30,18
157243,40,8
157243,50,7
181710,10,2
181710,20,38
181710,30,34
181710,40,18
181710,50,7
196828,10,
196828,20,
196828,30,
196828,40,
196828,50,
179518,10,3
179518,20,33
179518,30,34
179518,40,19
179518,50,11
17421,10,0
17421,20,82
17421,30,12
17421,40,6
17421,50,0
10200,10,0
10200,20,31
10200,30,31
10200,40,31
10200,50,8
154667,10,3
154667,20,47
154667,30,29
154667,40,16
154667,50,5
10016,10,
10016,20,
10016,30,
10016,40,
10016,50,
187320,10,2
187320,20,40
187320,30,36
187320,40,15
187320,50,6
35939,10,7
35939,20,57
35939,30,14
35939,40,21
35939,50,0
18988,10,
18988,20,
18988,30,
18988,40,
18988,50,
69105,10,
69105,20,
69105,30,
69105,40,
69105,50,
156464,10,3
156464,20,40
156464,30,26
156464,40,21
156464,50,10
10002,10,2
10002,20,61
10002,30,18
10002,40,16
10002,50,2
10102,10,10
10102,20,80
10102,30,0
10102,40,10
10102,50,0
17159,10,5
17159,20,56
17159,30,27
17159,40,12
17159,50,1
106360,10,6
106360,20,59
106360,30,19
106360,40,11
106360,50,5
29217,10,
29217,20,
29217,30,
29217,40,
29217,50,
18847,10,14
18847,20,59
18847,30,13
18847,40,9
18847,50,5
22126,10,0
22126,20,54
22126,30,21
22126,40,21
22126,50,4
82432,10,
82432,20,
82432,30,
82432,40,
82432,50,
197647,10,0
197647,20,17
197647,30,33
197647,40,33
197647,50,17
35901,10,18
35901,20,47
35901,30,24
35901,40,6
35901,50,6
24452,10,1
24452,20,34
24452,30,39
24452,40,18
24452,50,7
32686,10,11
32686,20,60
32686,30,19
32686,40,9
32686,50,1
66463,10,
66463,20,
66463,30,
66463,40,
66463,50,
31162,10,
31162,20,
31162,30,
31162,40,
31162,50,
203288,10,
203288,20,
203288,30,
203288,40,
203288,50,
34324,10,0
34324,20,29
34324,30,71
34324,40,0
34324,50,0
11678,10,
11678,20,
11678,30,
11678,40,
11678,50,
147092,10,1
147092,20,49
147092,30,26
147092,40,16
147092,50,8
31796,10,2
31796,20,53
31796,30,31
31796,40,11
31796,50,3
92125,10,3
92125,20,32
92125,30,29
92125,40,22
92125,50,15
181700,10,5
181700,20,35
181700,30,25
181700,40,15
181700,50,20
10048,10,8
10048,20,65
10048,30,10
10048,40,12
10048,50,5
14450,10,4
14450,20,45
14450,30,29
14450,40,14
14450,50,8
136900,10,4
136900,20,46
136900,30,29
136900,40,18
136900,50,3
17170,10,9
17170,20,73
17170,30,9
17170,40,9
17170,50,0
163788,10,3
163788,20,37
163788,30,32
163788,40,23
163788,50,5
37886,10,
37886,20,
37886,30,
37886,40,
37886,50,
161850,10,6
161850,20,52
161850,30,21
161850,40,15
161850,50,6
134899,10,5
134899,20,55
134899,30,19
134899,40,14
134899,50,6
142632,10,0
142632,20,62
142632,30,26
142632,40,9
142632,50,3
12482,10,
12482,20,
12482,30,
12482,40,
12482,50,
18543,10,
18543,20,
18543,30,
18543,40,
18543,50,
30688,10,4
30688,20,51
30688,30,38
30688,40,4
30688,50,2
19079,10,8
19079,20,42
19079,30,17
19079,40,0
19079,50,33
130850,10,4
130850,20,47
130850,30,31
130850,40,16
130850,50,2
17541,10,
17541,20,
17541,30,
17541,40,
17541,50,
154573,10,1
154573,20,35
154573,30,30
154573,40,18
154573,50,17
19099,10,11
19099,20,62
19099,30,21
19099,40,2
19099,50,4
31795,10,0
31795,20,43
31795,30,43
31795,40,11
31795,50,3
189027,10,
189027,20,
189027,30,
189027,40,
189027,50,
51172,10,
