,user_id
17923077,1
13680914,1
"8201311,",1
"8198978,",1
"8197138,",1
"8196530,",1
"8196357,",1
"8195626,",1
"8195502,",1
"8195434,",1
"8194835,",1
"8194657,",1
"8189411,",1
"8177936,",1
"8178920,",1
"8178145,",1
"8177237,",1
"8176129,",1
17130427,1
17113257,1
16958843,1
16871845,1
16869145,1
"8202104,",1
"8400210,",1
"8400272,",1
"8213005,",1
"8173428,",1
"8175341,",1
"8215832,",1
"8213024,",1
"8177905,",1
"8202698,",1
"8201918,",1
"8198893,",1
11332402,1
"8208186,",1
"8403395,",1
"8208055,",1
"8198382,",1
"8398091,",1
"8187103,",1
"8174513,",1
17203410,1
12242885,1
12150685,1
"9260950,",1
16435354,1
13389989,1
"8185826,",1
13138983,1
"7723984,",1
"1247407,",1
"201319, ",1
"5953871,",1
"4794600,",1
"3361340,",1
"6660321,",1
10396834,1
"5975412,",1
"5834903,",1
"574721, ",1
"315758, ",1
"40923, '",1
"9119716,",1
10707655,1
"5796264,",1
"1570898,",1
17133792,1
15448119,1
13973856,1
13759673,1
"7786939,",1
"5059309,",1
"5727335,",1
11345846,1
13096999,1
12904776,1
12697636,1
12160138,1
12032706,1
11949181,1
11932086,1
11647431,1
11389697,1
11100207,1
"6735423,",1
11057616,1
10770783,1
10577734,1
"8135960,",1
"8481800,",1
"9759785,",1
"7526338,",1
"2982761,",1
"2840828,",1
"8179211,",1
"8198777,",1
17153763,1
16589945,1
"6996819,",1
"6698947,",1
"4308266,",1
"3131741,",1
"9291109,",1
"9336297,",1
17454280,1
17431353,1
17215203,1
17115140,1
17107718,1
17074053,1
16956048,1
16875785,1
16874885,1
16838445,1
16826012,1
16811816,1
16810776,1
16666004,1
16664187,1
"8096193,",1
"9769939,",1
11608354,1
14729122,1
16467474,1
16989282,1
16990924,1
16825726,1
16606936,1
16575948,1
16082869,1
"8719095,",1
"8418861,",1
10076038,1
12530057,1
17050257,1
16856449,1
16818894,1
15848963,1
14989638,1
14933673,1
13937753,1
13423595,1
13209500,1
16620548,1
16576105,1
"8188839,",1
14946385,1
"8203904,",1
"8207474,",1
"8182575,",1
"8178099,",1
"8203885,",1
"8176675,",1
"8204428,",1
"8201639,",1
"8180173,",1
"8206316,",1
"8195114,",1
"8176434,",1
"8186668,",1
"8176127,",1
"8177931,",1
"8202197,",1
"8190077,",1
"8186711,",1
"8207101,",1
"8205029,",1
"8206606,",1
"8173130,",1
"8211655,",1
"8176143,",1
"6691150,",1
14597320,1
13998431,1
13464623,1
12963474,1
12828401,1
"9983753,",1
"9910039,",1
"9790008,",1
"9024726,",1
"6212653,",1
"8176234,",1
"5918424,",1
"8174464,",1
"8174805,",1
"8174527,",1
"8173532,",1
"8172518,",1
"8173906,",1
"8175882,",1
"8176945,",1
13751466,1
10409321,1
"9806648,",1
12140657,1
12123601,1
12155223,1
12154806,1
12152147,1
12152137,1
12152063,1
12151879,1
12151874,1
12151823,1
12151721,1
12151705,1
12150585,1
12149264,1
12148923,1
12148898,1
12148844,1
12148830,1
12148659,1
12148616,1
12136719,1
12151562,1
12124178,1
12151575,1
12123639,1
12126188,1
12148752,1
12148489,1
12146761,1
12137555,1
12136528,1
12136448,1
12136237,1
12136184,1
12127274,1
12126086,1
12123653,1
12125350,1
12125335,1
12125279,1
12124237,1
12124030,1
12123954,1
12123864,1
12123857,1
12123816,1
12148964,1
12130186,1
"6091465,",1
12141297,1
"7588671,",1
"7522889,",1
"7991685,",1
"7616185,",1
"7327545,",1
"7525624,",1
"7809887,",1
"7576532,",1
"7718271,",1
"7522812,",1
"7810340,",1
"7316503,",1
"7555917,",1
"7524108,",1
"7992237,",1
"7647345,",1
"7463843,",1
16582192,1
13734637,1
15563420,1
17154058,1
"7790669,",1
"7613200,",1
"7720838,",1
12148093,1
12139598,1
12160048,1
12148417,1
12148265,1
12148192,1
12148177,1
12148154,1
12148148,1
12148098,1
12148047,1
"7679004,",1
12148036,1
12147189,1
12146739,1
12146724,1
12146315,1
12144844,1
12144311,1
12143764,1
15021092,1
12150833,1
12151590,1
12187330,1
12126203,1
10586202,1
"9846144,",1
"8844262,",1
"8643076,",1
"8149446,",1
"6876528,",1
"6091466,",1
"6091464,",1
"5718676,",1
"5351787,",1
"4622089,",1
"4528029,",1
"4304868,",1
"4226649,",1
"4134474,",1
"4034752,",1
"3849634,",1
"3558186,",1
"3534151,",1
"3424702,",1
"3365680,",1
11050128,1
11355319,1
12440955,1
"52952, '",1
"5728211,",1
"5619183,",1
"5392137,",1
"4892660,",1
"4727495,",1
"4434985,",1
"3835837,",1
"1198521,",1
"151291, ",1
11192964,1
12844015,1
17367679,1
17027777,1
16743809,1
16301345,1
16111980,1
14523113,1
14245408,1
13860324,1
13722685,1
"3351516,",1
"3252732,",1
"3237514,",1
12125663,1
12122928,1
12124039,1
12123505,1
12124066,1
12122676,1
12124013,1
12129483,1
12129044,1
12127812,1
12125252,1
12122618,1
12128295,1
12124859,1
12150288,1
12150278,1
12149763,1
12148934,1
12148707,1
12148504,1
12136629,1
12130010,1
12124309,1
"3197226,",1
"1944601,",1
"2426892,",1
"2426747,",1
"2407448,",1
"2239482,",1
"2152265,",1
"2035014,",1
"2028620,",1
"2025815,",1
"2012101,",1
"1820945,",1
12123016,1
"1818079,",1
"1803619,",1
"1776452,",1
"1770886,",1
"1764021,",1
12122548,1
12122993,1
12122306,1
12123735,1
"8886057,",1
10661041,1
10667950,1
"9075614,",1
"9016899,",1
"8990384,",1
"8996365,",1
"8991186,",1
"8991016,",1
"8999230,",1
"8995307,",1
"8988054,",1
"9044643,",1
"9049460,",1
"8990757,",1
"9075487,",1
"9001514,",1
"8991591,",1
"8990865,",1
"9031309,",1
"9005145,",1
"8990166,",1
"8990752,",1
"9039698,",1
"8993888,",1
"8991638,",1
"8990766,",1
"9019188,",1
"8987838,",1
"8990835,",1
"8990528,",1
"9007483,",1
"8992317,",1
"8990778,",1
"8995613,",1
"8994203,",1
"8990144,",1
"8990814,",1
"9073068,",1
"8990755,",1
"8996227,",1
"9004023,",1
"8995619,",1
"8991625,",1
"8990306,",1
"8987866,",1
"8990717,",1
"8990787,",1
"9048736,",1
"8987886,",1
"9074690,",1
13253945,1
"9007780,",1
12704218,1
12707967,1
12744014,1
12729185,1
12701434,1
12719352,1
12708517,1
12700391,1
12735468,1
12704353,1
12763632,1
12701380,1
12731563,1
13504695,1
13481718,1
12836095,1
12835340,1
12727939,1
12737554,1
16191142,1
13611627,1
12725188,1
12702906,1
12708835,1
12711094,1
"9033486,",1
"9010818,",1
"9000884,",1
"8991788,",1
"8994358,",1
12700856,1
12704059,1
12705113,1
12701735,1
12702284,1
12732951,1
12700919,1
12702567,1
12707084,1
12703824,1
12732656,1
12711105,1
12708516,1
12704461,1
12705342,1
"8990803,",1
"8988188,",1
"9014720,",1
"8999973,",1
"2295715,",1
"2248202,",1
"1934815,",1
"1933776,",1
"1211613,",1
"1206761,",1
"745399, ",1
17682778,1
17599767,1
15493260,1
15245956,1
14904048,1
17749602,1
15839363,1
15769139,1
15349943,1
14205114,1
14955475,1
12661494,1
12661898,1
"8785047,",1
"2719285,",1
"2800958,",1
"2823424,",1
"6278732,",1
15154657,1
"5389422,",1
17909192,1
17869810,1
17453420,1
17163105,1
16772190,1
16599660,1
14387095,1
"5989503,",1
"3939877,",1
"5870529,",1
"5681538,",1
"5487719,",1
"5456207,",1
"4937291,",1
"4557666,",1
"4553947,",1
"4282404,",1
"4037951,",1
10135735,1
17943517,1
17940559,1
"8989037,",1
"8990989,",1
"8990252,",1
"8991274,",1
"8990622,",1
"8988716,",1
"8993457,",1
"8987961,",1
"8989736,",1
"8992243,",1
"8991238,",1
"8996608,",1
"8988922,",1
"8994185,",1
"8987984,",1
"8992675,",1
"8992140,",1
"8988102,",1
"8990883,",1
"8992823,",1
"8991763,",1
"8990748,",1
"8989332,",1
17495631,1
"8988844,",1
17492468,1
17487092,1
"8988847,",1
"8992450,",1
"8987831,",1
"8988227,",1
"8988281,",1
"8992888,",1
"8991053,",1
"8990048,",1
"8991315,",1
"8993454,",1
"8991311,",1
"8987967,",1
"8987884,",1
